nanyangSiteId,siteNameZh,siteNameEn,Y,X
"cca-kd-0056",,"SINGAPORE CHUNG SAAN CHP PO THUNG HEUNG WAI",1.309759,103.856699
"cca-kd-0057","新加坡海洲会馆","HOU CHOW WUI KWUN",1.281583,103.845424
"cca-kd-0058","新加坡中山榄镇同乡会","SINGAPORE CHUNG SAN LAM CHAN THUNG HIONG WUI",1.277874,103.842066
"cca-kd-0059","丰顺会馆","FOONG SHOON FUI KUAN",1.302383,103.861504
"cca-kd-0060","丰顺会馆","FOONG SHOON FUI KUAN",1.312685,103.885941
"cca-kd-0061","丰顺会馆","FOONG SHOON FUI KUAN",1.313476,103.886735
"cca-kd-0062","义安公司","NGEE ANN KONGSI",1.295135,103.843436
"cca-kd-0063","新加坡云氏公会","SINGAPORE HOON CLAN ASSOCIATION",1.296809,103.853601
"cca-kd-0064",,"TIEN LIM CO-VILLAGERS ASSOCIATION",1.312529,103.855138
"cca-kd-0065","兴宁同乡会","SINGAPORE SHIN NENG FELLOW COUNTRY-MEN ASSOCIATION",1.299068,103.855328
"cca-kd-0066","兴宁同乡会","SINGAPORE SHIN NENG FELLOW COUNTRY-MEN ASSOCIATION",1.301857,103.851832
"cca-kd-0067","兴宁同乡会","SINGAPORE SHIN NENG FELLOW COUNTRY-MEN ASSOCIATION",1.312515,103.886074
"cca-kd-0068","兴安会馆","HIN ANN HUAY KUAN",1.300894,103.85488
"cca-kd-0069","兴安会馆","HIN ANN HUAY KUAN",1.300197,103.852975
"cca-kd-0070","兴安会馆","HIN ANN HUAY KUAN",1.306763,103.850947
"cca-kd-0071","兴安会馆","HIN ANN HUAY KUAN",1.309509,103.85652
"cca-kd-0072","冈州会馆","KONG CHOW WUI KOON",1.283525,103.846866
"cca-kd-0073","冈州会馆","KONG CHOW WUI KOON",1.280956,103.841049
"cca-kd-0074","冯氏总会","FONG CLAN GENERAL ASSOCIATION",1.30934,103.857117
"cca-kd-0075","冯氏总会","FONG CLAN GENERAL ASSOCIATION",1.279048,103.842241
"cca-kd-0076","冯氏总会","FONG CLAN GENERAL ASSOCIATION",1.314175,103.857544
"cca-kd-0077","刘关张赵古城会馆","LAU KWAN CHEONG CHEW KU SENG WUI KUN",1.281782,103.848006
"cca-kd-0078","刘关张赵古城会馆","LAU KWAN CHEONG CHEW KU SENG WUI KUN",1.279251,103.848416
"cca-kd-0079","刘关张赵古城会馆","LAU KWAN CHEONG CHEW KU SENG WUI KUN",1.312465,103.883855
"cca-kd-0080","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",1.30678,103.856784
"cca-kd-0081","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",1.283525,103.846866
"cca-kd-0082","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",1.290311,103.845561
"cca-kd-0083","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",1.328058,103.866312
"cca-kd-0084","南安罗溪公所","LAM ANN LOH KHOE ASSOCIATION",1.290857,103.845407
"cca-kd-0085","南安罗溪公所","LAM ANN LOH KHOE ASSOCIATION",1.31199,103.888584
"cca-kd-0086","南洋周氏总会","THE NANYANG CHEW CLAN ASSOCIATION",1.277517,103.843775
"cca-kd-0087","南洋周氏总会","THE NANYANG CHEW CLAN ASSOCIATION",1.277314,103.844403
"cca-kd-0088","南洋周氏总会","THE NANYANG CHEW CLAN ASSOCIATION",1.274719,103.843991
"cca-kd-0089","南洋周氏总会","THE NANYANG CHEW CLAN ASSOCIATION",1.311864,103.883913
"cca-kd-0090","南洋徐氏公会","NANYANG CHEE CLAN ASSOCIATION",1.31087,103.861829
"cca-kd-0091","南洋徐氏公会","NANYANG CHEE CLAN ASSOCIATION",1.313408,103.879138
"cca-kd-0092","南洋柯氏公会","NANYANG KUAH SI ASSOCIATION",1.303754,103.859234
"cca-kd-0093","南洋柯氏公会","NANYANG KUAH SI ASSOCIATION",1.303681,103.859292
"cca-kd-0094","南洋梁氏公会","NANYANG NEO CLAN ASSOCIATION",1.35413,103.878807
"cca-kd-0095","南洋梁氏公会","NANYANG NEO CLAN ASSOCIATION",1.355288,103.878234
"cca-kd-0096","南洋江氏总会, 新加坡江氏总会","KANG ASSOCIATION (SINGAPORE)  //  NANYANG KANG CLAN GUILD",1.281994,103.847455
"cca-kd-0097","南洋江氏总会, 新加坡江氏总会","KANG ASSOCIATION (SINGAPORE)  //  NANYANG KANG CLAN GUILD",1.307825,103.894968
"cca-kd-0098","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",1.308828,103.857273
"cca-kd-0099","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",1.307802,103.857868
"cca-kd-0100","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",1.307117,103.853324
"cca-kd-0101","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",1.443714,103.835747
"cca-kd-0102","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",1.416788,103.834642
"cca-kd-0103","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",1.307117,103.853324
"cca-kd-0104","南洋胡氏公会","NANYANG HWU CLAN GENERAL ASSOCIATION",1.300534,103.854831
"cca-kd-0105","南洋胡氏公会","NANYANG HWU CLAN GENERAL ASSOCIATION",1.299874,103.851466
"cca-kd-0106","南洋胡氏公会","NANYANG HWU CLAN GENERAL ASSOCIATION",1.314731,103.889249
"cca-kd-0107","南洋罗氏公会","NANYANG LOH CLAN ASSOCIATION",1.304542,103.860176
"cca-kd-0108","南洋罗氏公会","NANYANG LOH CLAN ASSOCIATION",1.312376,103.884167
"cca-kd-0109","南洋范氏总会","NANYANG FAN CLAN GENERAL ASSOCIATION",1.299068,103.855328
"cca-kd-0110","南洋范氏总会","NANYANG FAN CLAN GENERAL ASSOCIATION",1.311472,103.877795
"cca-kd-0111","南洋范氏总会","NANYANG FAN CLAN GENERAL ASSOCIATION",1.315798,103.883664
"cca-kd-0112","南洋范氏总会","NANYANG FAN CLAN GENERAL ASSOCIATION",1.311472,103.877795
"cca-kd-0113","南洋薛氏总会","NANYANG SEET CLAN ASSOCIATION",1.300368,103.859706
"cca-kd-0114","南洋薛氏总会","NANYANG SEET CLAN ASSOCIATION",1.313303,103.85969
"cca-kd-0115","南洋薛氏总会","NANYANG SEET CLAN ASSOCIATION",1.338894,103.849538
"cca-kd-0116","南洋赵氏总会","NANYANG CHAO CLAN ASSOCIATION",1.309446,103.876929
"cca-kd-0117","南洋赵氏总会","NANYANG CHAO CLAN ASSOCIATION",1.310201,103.858232
"cca-kd-0118","南洋马氏总会","NANYANG MAH CLAN GENERAL ASSOCIATION",1.287094,103.847672
"cca-kd-0119","南洋马氏总会","NANYANG MAH CLAN GENERAL ASSOCIATION",1.311349,103.883901
"cca-kd-0120","南海同乡会","NAM HOI CLAN ASSOCIATION",1.282293,103.844473
"cca-kd-0121","南璧同乡会","NAN PIH ASSOCIATION",1.313671,103.877222
"cca-kd-0122","南舜同宗会","LAM SOON TANG CHONG HUAY",1.374466,103.899136
"cca-kd-0123","南舜同宗会","LAM SOON TANG CHONG HUAY",1.350622,103.878924
"cca-kd-0124","卢氏宗祠","LOKE'S ASSOCIATION",1.309195,103.876611
"cca-kd-0125","古宁同乡会","SINGAPORE KOH LENG ASSOCIATION",1.312467,103.876062
"cca-kd-0126","后港区琼崖同乡会","SERANGOON KHIUNG JAI CO-VILLAGERS ASSOCIATION",1.35309,103.883962
"cca-kd-0127","后港区琼崖同乡会","SERANGOON KHIUNG JAI CO-VILLAGERS ASSOCIATION",1.351724,103.886487
"cca-kd-0128","后港区琼崖同乡会","SERANGOON KHIUNG JAI CO-VILLAGERS ASSOCIATION",1.35087,103.883677
"cca-kd-0129","嘉应五属公会, 嘉应五属同乡会","KAR YENG FIVE DISTRICTS GENERAL ASSOCIATION",1.307351,103.849953
"cca-kd-0130","嘉应五属公会, 嘉应五属同乡会","KAR YENG FIVE DISTRICTS GENERAL ASSOCIATION",1.342413,103.776539
"cca-kd-0131","嘉应五属公会, 嘉应五属同乡会","KAR YENG FIVE DISTRICTS GENERAL ASSOCIATION",1.344854,103.775496
"cca-kd-0132","天河同乡会","THIN HO THUNG HEONG WUI",1.281432,103.846032
"cca-kd-0133","天河同乡会","THIN HO THUNG HEONG WUI",1.281036,103.845574
"cca-kd-0134","太原王氏公会","TAI GUAN ONG SEE ASSOCIATION",1.309522,103.857743
"cca-kd-0135","太原王氏公会","TAI GUAN ONG SEE ASSOCIATION",1.309495,103.852901
"cca-kd-0136","孟里南旅同乡会","MONG LIH NAM LI TANG YEO WUI",1.296982,103.85548
"cca-kd-0137","孟里南旅同乡会","MONG LIH NAM LI TANG YEO WUI",1.318132,103.843769
"cca-kd-0138","客属刘氏公会","KHEK COMMUNITY LIEU CLAN ASSOCIATION",1.306983,103.858303
"cca-kd-0139","客属刘氏公会","KHEK COMMUNITY TENG CLAN ASSOCIATION",1.310694,103.872684
"cca-kd-0140","客属刘氏公会","KHEK COMMUNITY LIEU CLAN ASSOCIATION",1.323301,103.810528
"cca-kd-0141","客属刘氏公会","KHEK COMMUNITY LIEU CLAN ASSOCIATION",1.312605,103.883836
"cca-kd-0142","广惠肇李氏书室","KWONG WAI SIEW LI SI SHU SHUT",1.283525,103.846866
"cca-kd-0143","广惠肇李氏书室","KWONG WAI SIEW LI SI SHU SHUT",1.279399,103.842457
"cca-kd-0144","广惠肇李氏书室","KWONG WAI SIEW LI SI SHU SHUT",1.283707,103.845619
"cca-kd-0145","广惠肇李氏书室","KWONG WAI SIEW LI SI SHU SHUT",1.289997,103.849282
"cca-kd-0146","广惠肇李氏书室","KWONG WAI SIEW LI SI SHU SHUT",1.28107,103.845924
"cca-kd-0147","广惠肇李氏书室","KWONG WAI SIEW LI SI SHU SHUT",1.280698,103.846158
"cca-kd-0148","恩平同乡会","YEN PENG THONG HIONG HUEY",1.279438,103.84249
"cca-kd-0149","恩平同乡会","YEN PENG THONG HIONG HUEY",1.279357,103.841653
"cca-kd-0150","恩平同乡会","YEN PENG THONG HIONG HUEY",1.280089,103.841673
"cca-kd-0151","成氏宗亲会","SENG CLAN ASSOCIATION(SINGAPORE)",1.280981,103.849436
"cca-kd-0152","成氏宗亲会","SENG CLAN ASSOCIATION(SINGAPORE)",1.315339,103.912199
"cca-kd-0153","成氏宗亲会","SENG CLAN ASSOCIATION(SINGAPORE)",1.28584,103.843964
"cca-kd-0154","文山联谊社","BOON SAN LIAN NGEE ASSOCIATION",1.284149,103.845704
"cca-kd-0155","新加坡东安会馆","TUNG ON WUI KUN",1.282086,103.842094
"cca-kd-0156","新加坡东安会馆","TUNG ON WUI KUN",1.279015,103.840532
"cca-kd-0157","新加坡中山会馆","CHUNG SHAN ASSOCIATION (SINGAPORE)",1.282943,103.847849
"cca-kd-0158","新加坡中山会馆","CHUNG SHAN ASSOCIATION (SINGAPORE)",1.28357,103.848345
"cca-kd-0159","新加坡中山会馆","CHUNG SHAN ASSOCIATION (SINGAPORE)",1.283525,103.846866
"cca-kd-0160","新加坡中山会馆","CHUNG SHAN ASSOCIATION (SINGAPORE)",1.279993,103.841672
"cca-kd-0161","新加坡叶氏公会","SINGAPORE YAP ASSOCIATION",1.280137,103.849316
"cca-kd-0162","新加坡叶氏公会","SINGAPORE YAP ASSOCIATION",1.280409,103.847647
"cca-kd-0163","新加坡叶氏公会","SINGAPORE YAP ASSOCIATION",1.311654,103.883905
"cca-kd-0164","新加坡大埔同乡会","TAIPU ASSOCIATION (SINGAPORE)",1.315052,103.888721
"cca-kd-0165","新加坡天府会","TIAN FU ASSOCIATION (SINGAPORE)",1.326712,103.865877
"cca-kd-0166","新加坡宁阳会馆","NING YEUNG WUI KUAN SINGAPORE",1.284977,103.846433
"cca-kd-0167","新加坡宁阳会馆","NING YEUNG WUI KUAN SINGAPORE",1.309152,103.877235
"cca-kd-0168","新加坡安溪会馆","SINGAPORE ANN KWAY ASSOCIATION",1.284646,103.847554
"cca-kd-0169","新加坡安溪会馆","SINGAPORE ANN KWAY ASSOCIATION",1.282584,103.842368
"cca-kd-0170","新加坡客属宝树谢氏公会","CHIA (POW SOO) HAKKA CLAN ASSOCIATION",1.313008,103.877774
"cca-kd-0171","新加坡客属黄氏公会","SINGAPORE KHEK COMMUNITY WONG CLAN ASSOCIATION  //  KHEK COMMUNITY WONG CLAN ASSOCIATION",1.298253,103.856349
"cca-kd-0172","新加坡客属黄氏公会","SINGAPORE KHEK COMMUNITY WONG CLAN ASSOCIATION  //  KHEK COMMUNITY WONG CLAN ASSOCIATION",1.299068,103.855328
"cca-kd-0173","新加坡客属黄氏公会","SINGAPORE KHEK COMMUNITY WONG CLAN ASSOCIATION  //  KHEK COMMUNITY WONG CLAN ASSOCIATION",1.311199,103.8597
"cca-kd-0174","新加坡山西会馆","SHANXI ASSOCIATION",1.319768,103.865085
"cca-kd-0175","新加坡庐江何氏总会","SINAPORE LOH KANG HO CLAN ASSOCIATION",1.278445,103.843122
"cca-kd-0176","新加坡庐江何氏总会","SINAPORE LOH KANG HO CLAN ASSOCIATION",1.278213,103.844224
"cca-kd-0177","新加坡庐江何氏总会","SINAPORE LOH KANG HO CLAN ASSOCIATION",1.309152,103.877235
"cca-kd-0178","新加坡延陵吴氏总会","YEN LENG GOH CLAN GENERAL ASSOCIATION",1.28577,103.84398
"cca-kd-0179","新加坡延陵吴氏总会","YEN LENG GOH CLAN GENERAL ASSOCIATION",1.293868,103.841672
"cca-kd-0180","新加坡惠州会馆（惠州会馆, 惠州公会）","WUI CHIU FUI KUN SINGAPORE",1.284368,103.847364
"cca-kd-0181","新加坡惠州会馆（惠州会馆, 惠州公会）","WUI CHIU FUI KUN SINGAPORE",1.284646,103.847554
"cca-kd-0182","新加坡惠州会馆（惠州会馆, 惠州公会）","WUI CHIU FUI KUN SINGAPORE",1.278143,103.844549
"cca-kd-0183","新加坡惠州会馆（惠州会馆, 惠州公会）","WUI CHIU FUI KUN SINGAPORE",1.277955,103.842029
"cca-kd-0184",,"DAI CLAN ASSOCIATION (SINGAPORE)",1.313373,103.87796
"cca-kd-0185",,"DAI CLAN ASSOCIATION (SINGAPORE)",1.326337,103.896262
"cca-kd-0186","新加坡杨厝港琼崖同乡会","SINGAPORE YIO CHU KANG KHENG ZAI TUNG YEO HUI",1.398138,103.873328
"cca-kd-0187","新加坡杨厝港琼崖同乡会","SINGAPORE YIO CHU KANG KHENG ZAI TUNG YEO HUI",1.369534,103.873492
"cca-kd-0188","新加杨氏公会","SINGAPORE YONG SZE ASSOCIATION",1.298881,103.856199
"cca-kd-0189","新加杨氏公会","SINGAPORE YONG SZE ASSOCIATION",1.314517,103.886488
"cca-kd-0190","新加杨氏公会","SINGAPORE YONG SZE ASSOCIATION",1.298881,103.856199
"cca-kd-0191","新加杨氏公会","SINGAPORE YONG SZE ASSOCIATION",1.315052,103.888721
"cca-kd-0192","新加坡海南会馆","SINGAPORE HAI NAN HWEE KUAN/ KHENG CHIU TIN HOU KONG",1.299068,103.855328
"cca-kd-0193","新加坡海南会馆","SINGAPORE HAI NAN HWEE KUAN/ KHENG CHIU TIN HOU KONG",1.296409,103.855929
"cca-kd-0194","新加坡海南林氏公会","HAINAN LIM CLAN ASSOCIATION",1.313453,103.877267
"cca-kd-0195","新加坡湖峰社","SINGAPORE OH HONG SIA ASSOCIATION",1.280981,103.849436
"cca-kd-0196","新加坡湖峰社","SINGAPORE OH HONG SIA ASSOCIATION",1.296772,103.836214
"cca-kd-0197","新加坡湖峰社","SINGAPORE OH HONG SIA ASSOCIATION",1.31161,103.883908
"cca-kd-0198","新加坡潮州沈氏联合会","SINGAPORE TEO CHEW SIM CLAN ASSOCIATION",1.287877,103.849241
"cca-kd-0199","新加坡潮州沈氏联合会","SINGAPORE TEO CHEW SIM CLAN ASSOCIATION",1.287598,103.846846
"cca-kd-0200","新加坡潮州沈氏联合会","SINGAPORE TEO CHEW SIM CLAN ASSOCIATION",1.31353,103.77086
"cca-kd-0201","新加坡琼海同乡会","QIONGHAI ASSOCIATION (SINGAPORE)",1.296228,103.855809
"cca-kd-0202","新加坡琼海同乡会","QIONGHAI ASSOCIATION (SINGAPORE)",1.318132,103.843769
"cca-kd-0203","新加坡琼海同乡会","QIONGHAI ASSOCIATION (SINGAPORE)",1.314374,103.878115
"cca-kd-0204","新加坡福州会馆","SINGAPORE FOOCHOW ASSOCIATION",1.282301,103.845846
"cca-kd-0205","新加坡福州会馆","SINGAPORE FOOCHOW ASSOCIATION",1.302844,103.845845
"cca-kd-0206","新加坡福州会馆","SINGAPORE FOOCHOW ASSOCIATION",1.30941,103.858441
"cca-kd-0207","新加坡福州洪氏公会","FOO CHOW HOON CLAN GUILD OF SINGAPORE",1.307159,103.852439
"cca-kd-0208","新加坡福州洪氏公会","FOO CHOW HOON CLAN GUILD OF SINGAPORE",1.316608,103.853326
"cca-kd-0209","新加坡福州洪氏公会","FOO CHOW HOON CLAN GUILD OF SINGAPORE",1.309137,103.853713
"cca-kd-0210","新加坡福州洪氏公会","FOO CHOW HOON CLAN GUILD OF SINGAPORE",1.31077,103.853643
"cca-kd-0211","新加坡福建会馆","SINGAPORE HOKIEN HUAY KUAN",1.280801,103.848017
"cca-kd-0212","新加坡福清东张同乡会","SINGAPORE FUTSING TUNG CHIANG CLANSMEN'S ASSOCIATION",1.307117,103.854524
"cca-kd-0213","新加坡福清东张同乡会","SINGAPORE FUTSING TUNG CHIANG CLANSMEN'S ASSOCIATION",1.314,103.879309
"cca-kd-0214","新加坡福清会馆","SINGAPORE FUTSING ASSOCIATION",1.300367,103.855637
"cca-kd-0215","新加坡福清会馆","SINGAPORE FUTSING ASSOCIATION",1.300617,103.854642
"cca-kd-0216","新加坡福清会馆","SINGAPORE FUTSING ASSOCIATION",1.310697,103.859349
"cca-kd-0217","新加坡舜裔宗亲联谊会","SHUN-YI ASSOCIATION (SINGAPORE)",1.315048,103.881021
"cca-kd-0218","新加坡舜裔宗亲联谊会","SHUN-YI ASSOCIATION (SINGAPORE)",1.314731,103.889249
"cca-kd-0219","新加坡舜裔宗亲联谊会","SHUN-YI ASSOCIATION (SINGAPORE)",1.350622,103.878924
"cca-kd-0220","滎阳堂郑氏公会","ENG YONG TONG TAY SI ASSOCIATION",1.286073,103.849046
"cca-kd-0221","滎阳堂郑氏公会","ENG YONG TONG TAY SI ASSOCIATION",1.280995,103.84686
"cca-kd-0222","新加坡莆田会馆, 南洋莆田会馆","PUTIAN ASSOCIATION SINGAPORE  //  NANYANG PHO CHEN HUAY KUAN",1.300617,103.854642
"cca-kd-0223","新加坡莆田会馆, 南洋莆田会馆","PUTIAN ASSOCIATION SINGAPORE  //  NANYANG PHO CHEN HUAY KUAN",1.304883,103.852982
"cca-kd-0224","新加坡莆田会馆, 南洋莆田会馆","PUTIAN ASSOCIATION SINGAPORE  //  NANYANG PHO CHEN HUAY KUAN",1.31528,103.887543
"cca-kd-0225","新加坡许氏总会","SINGAPORE KHOH CLAN ASSOCIATION",1.283525,103.846866
"cca-kd-0226","新加坡许氏总会","SINGAPORE KHOH CLAN ASSOCIATION",1.293899,103.842607
"cca-kd-0227","新加坡许氏总会","SINGAPORE KHOH CLAN ASSOCIATION",1.280723,103.846706
"cca-kd-0228","新加坡谢氏总会, 南洋谢氏总会","CHIA GENERAL ASSOCIATION (SINGAPORE)",1.279247,103.8401
"cca-kd-0229","新加坡谢氏总会, 南洋谢氏总会","CHIA GENERAL ASSOCIATION (SINGAPORE)",1.284977,103.846433
"cca-kd-0230","新加坡谢氏总会, 南洋谢氏总会","CHIA GENERAL ASSOCIATION (SINGAPORE)",1.280399,103.84089
"cca-kd-0231","新加坡钟氏公会","ZHONG CLAN ASSOCIATION",1.273174,103.843714
"cca-kd-0232","新加坡钟氏公会","ZHONG CLAN ASSOCIATION",1.300367,103.855637
"cca-kd-0233","新加坡钟氏公会","ZHONG CLAN ASSOCIATION",1.314227,103.900339
"cca-kd-0234","新加坡钟氏公会","ZHONG CLAN ASSOCIATION",1.307357,103.853754
"cca-kd-0235","新加坡陈氏总会","FEDERATION OF CHEN CLAN ASSOCIATION",1.315048,103.881021
"cca-kd-0236","新加坡陈氏总会","FEDERATION OF CHEN CLAN ASSOCIATION",1.28707,103.845234
"cca-kd-0237","新加坡陈氏总会","FEDERATION OF CHEN CLAN ASSOCIATION",1.350622,103.878924
"cca-kd-0238","新加坡高氏公会","SINGAPORE KOH CLAN ASSOCIATION",1.277478,103.789683
"cca-kd-0239","新加坡高氏公会","SINGAPORE KOH CLAN ASSOCIATION",1.289266,103.832037
"cca-kd-0240","新加坡高氏公会","SINGAPORE KOH CLAN ASSOCIATION",1.278889,103.840593
"cca-kd-0241","新加坡高要会馆","SINGAPORE KOH YIU WOOI KWOON",1.283556,103.844418
"cca-kd-0242","新加坡高要会馆","SINGAPORE KOH YIU WOOI KWOON",1.281695,103.845839
"cca-kd-0243","新加坡鹤山会馆, 星加坡鹤山会馆","SINGAPORE HOK SAN ASSOCIATION",1.279328,103.84239
"cca-kd-0244","新加坡鹤山会馆, 星加坡鹤山会馆","SINGAPORE HOK SAN ASSOCIATION",1.280433,103.842274
"cca-kd-0245","新加坡麦氏公会（始兴堂）","SINGAPORE MAK CLAN CHI HENG THONG ASSOCIATION",1.280748,103.842463
"cca-kd-0246","新合盛同乡会","TIN HUP TENG TANG YEO WAY",1.295988,103.855146
"cca-kd-0247",,"SINGAPORE KUAN SUN SIA",1.28055,103.849196
