X,Y,NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,
103.8434617,1.28846977,13267,TUNG NGI COFFEE SHOP,同宜茶室,Angus Street,16 & 17,Coffee Shop,NA,NA,1947,NA,Ang Mow Ping,洪茂彬,,,1041,
103.8435096,1.288519012,8872,CHOP NAN KEE,南記,Angus Street,18,Sundries Retailers,NA,NA,1946,NA,Ho Koh Eng,何國寅,,,679,
103.8436161,1.288653429,1756,CHIAP SOON HENG,洽順與,Angus Street,23,Contractors,NA,NA,1929,NA,Koh Chiap Ngee,許洽宜,,,128,
103.843676,1.288722634,8794,NAM SIANG CO.,南祥公司,Angus Street,24,General Produce Merchants,NA,NA,1948,NA,Ng See Hiok,黃詩郁,,,673,
103.8518133,1.283652721,11715,STRICKLAND & CO.,實力島公司,Arcade,71,Broking and General Trading,6262,“STRIK”,1925,NA,Gordon Francis Strickland,,,,917,
103.8518133,1.283652721,1121,BRITISH LIGHTERAGE CO.,英國駁船業公司,Arcade Building,57,Lighterage and Contracting,6200,NA,1945,NA,Nalliah Karuppiah,,,,84,
103.8518133,1.283652721,5018,INDONESIAN TRADING SOCIETY,印尼貿易合社,Arcade Building,27,"General Merchants, Commission Agents, Importers and Exporters",NA,NA,1947,NA,Abdul Raham Bin Ahmad,,,,370,
103.8518133,1.283652721,8419,MOHAN BROS.,摩漢兄弟公司,Arcade Building,27,"Importers, Exporters and Commission Agents",NA,NA,1948,NA,Mangal Singh S/O Gian Singh,,,,640,
103.8518133,1.283652721,4940,HYGENIC HAIR DRESSING SALOON,衛生理髮室,Arcade Road,14,Hair Dressing,NA,NA,1941,NA,Narayamasamy S/O R. Packirisamy,,,,363,
103.8517751,1.283779343,543,ASIATIC INTERNATIONAL TRADING CO.,亞洲國際貿易公司,"Arcade, Raffles Place",20,"Importers, Exporters and Shippers",83743,"""VOLGA"" Singapore",NA,NA,Sant Ram Singh Esq,,,Post Box No. 1287,45,
103.8518133,1.283652721,126,P. M. S. ABDUL RAZAK,亞都拉查,The Arcade,13,Newsagents and Booksellers,NA,NA,1946,NA,P. M. S. Abdul Razak,,,,17,
103.8518133,1.283652721,225,AH HONG & CO.,余洪記,The Arcade,49,Building Contractors,6287,NA,1939,NA,Yu Soong Kwei,余松奎,,,24,
103.8518133,1.283652721,267,AHONG CONSTRUCTION CO.,亞豐建築公司,The Arcade,49,Civil Engineering and General Contracting,NA,NA,1948,NA,Wong Chow Dow,王秋濤,,,26,
103.8518133,1.283652721,344,ALKAFF & CO.,亞拉卡夫,The Arcade,70,Real Estate Agents,6877,NA,1910,NA,Syed Abdulrahman bin Shaik Alkaff,,,,31,
103.8518133,1.283652721,345,ALKAFFF REALTY LIMITED,亞拉卡產業公司,The Arcade,No. 70,Real Estate,6877,NA,1935,"$2,365,000",Syed Mohamed Bin,,,,31,
103.8518133,1.283652721,389,AMERICAN TRANSPORT CO.,美國轉運公司,The Arcade,57,Contracting and Lighterage,NA,NA,1947,NA,Mana Ramasamy S/O Nalliah,,,,35,
103.8518133,1.283652721,403,ANBAKK & COMPANY,安麥公司,The Arcade,50,Importers and Exporters,83751,NA,1947,NA,K. K. Nayar S/O M. N. Narayana Pillai,,,,36,
103.8518133,1.283652721,483,ARCADE STORES,亞吉商店,The Arcade,10 & 12,Retail Department Store,82455,NA,1946,NA,Freddie Jacob Isaac,,,,41,
103.8518133,1.283652721,551,ASSA SINGH & CO.,亞沙新公司,The Arcade,15,General Merchants,NA,NA,1946,NA,Assa Singh,,,,46,
103.8518133,1.283652721,571,ATLAS GRANITE QUARRY,環球石厰,The Arcade,41,Building and Road Contractors and Granite Quarrying,80526,NA,1948,NA,Lim Khoon Seng,林堃生,,,47,
103.8518133,1.283652721,626,THE BALA THEATRES LTD.,巴拉影戲有限公司,The Arcade,39,Films Distributors,83649,NA,1947,"$1,000,000",V. Kanagasabai,,,,52,
103.8518133,1.283652721,874,P. K. BASU,巴斯,The Arcade,50,Merchants and General Contractors,83751,NA,1945,NA,Provat Kuman Basu,,,,68,
103.8518133,1.283652721,1129,BRITISH TRADING CO.,英國贸易公司,The Arcade,28,Drawing Office Materials and Stationery,NA,NA,NA,NA,Joseph De Souza,,,,85,
103.8518133,1.283652721,1135,R. J. BROOKER & CO.,布律克公司,The Arcade,65,Engineering & Building Contractors,6457,NA,1939,,Manager: A. G. Roche,,,,,
103.8518133,1.283652721,1183,BUTTONS TO ORDER,製鈕公司,The Arcade,2,Makers of Cloth Covered Buttons,NA,NA,1947,NA,Mary MacOillivray Kirkham,,,,89,
103.8518133,1.283652721,2370,CHUNG SAI HAIR DRESSING SALOON,中西理髮室,The Arcade,8,Barbers,NA,NA,1946,NA,Hon Chen Po,洪正波,,,165,
103.8518133,1.283652721,2447,CLEARING & FORWARDING CO.,克玲旅行社,The Arcade,50,Transportation of Cargo and Passengers,NA,NA,1947,NA,P. K. Basu,,,,170,
103.8518133,1.283652721,2452,COASTAL TRANSPORT CO.,咯迭運輸公司,The Arcade,32/34,Ship Chandlers and General Contractors,80836,NA,1924,NA,Peena Govindasamy,,,,171,
103.8518133,1.283652721,2460,COLONIAL TRANSPORT & AGENCIES,高倫里運輸代理商,The Arcade,62,"Transport, Insurance and Agencies",NA,NA,1948,NA,Edward V. Fernandez,,,,171,
103.8518133,1.283652721,2475,COMPAGNIE DES MESSAGERIE MARITIMES,法國郵船公司,The Arcade,66,"General Shipping, Ship Owners, etc.",NA,NA,1916,"75,000,000. Fr",Local Rep: A. J. Gassier.,,,Inc. in France,172,
103.8518133,1.283652721,2632,EAST & WEST TRADING CORPORATION,東西貿易公司,The Arcade,47,Importers and Exporters,83768,"""EAST WEST.""",1946,NA,Dr. K. Chandra,,,,191,
103.8518133,1.283652721,2651,EASTERN BUILDERS,東方建築,The Arcade,39,General Contractors,NA,NA,1947,NA,Abdul Shukoor S/O Allar Lebba,,,,192,
103.8518133,1.283652721,2657,EASTERN COMMERCIAL BUREAU,東方商行,The Arcade,30,"Importers, Exporters and Commission Agents",NA,NA,1945,NA,M. Rama Kumaran Nayar,,,,193,
103.8518133,1.283652721,2719,"EDGAR BROTHERS, LTD.",伊牙克兄弟有限公司,The Arcade,42/44,Importers and Exporters,6305,"""EDGAR.""",NA,"$1,500,000",Martin Edgar,,,"London, Manchester, Sydney, Bangkok, Sourabaya, Osaka",197,
103.8518133,1.283652721,2948,ENGINEERING INDUSTRIES,建築工業社,The Arcade,52,"Civil, Mechanical & Structural Engineers",NA,NA,1948,NA,John Stott Kirkham,,,,211,
103.8518133,1.283652721,2964,B. ETLIN & CO.,愛爾公司,The Arcade,33,Stock and Share Brokers,5359,NA,1940,NA,Benjamin Etlin,,,,212,
103.8518133,1.283652721,2968,EUROPA—AZIE (ENGLAND) LTD.,歐羅巴有限公司,The Arcade,71,General Merchants,2532,"""EUROPAZIE.""",1946,£500,Manager: Heijman I.C.,,,"Inc. in England, P. O. Box 81",213,
103.8518133,1.283652721,2969,EUROPE LUGGAGE CARRIER CO.,歐洲運輸公司,The Arcade,39,Collecting and Forwarding Agents,3629,NA,1947,NA,Abdul Shukoor S/O Aliar Leba,,,,213,
103.8518133,1.283652721,2976,J. EVANS & CO.,愛民公司,The Arcade,55,Produce and General Merchants,7606,NA,1923,NA,Evans Joseph,,,,213,
103.8518133,1.283652721,3028,FAR EASTERN TRADING CORPORATION,遠東貿易公司,The Arcade,48,"Importers, Exporters and General Merchants",2093,NA,1941,NA,D. A. R. Wi Jewardane,,,,219,
103.8518133,1.283652721,3049,ERNEST FERNANDO,佛南都,The Arcade,48,Importers of Tea,NA,NA,1947,NA,Thomas Ernest Fernando,,,,220,
103.8518133,1.283652721,3196,GALLE STORES,吳商店,The Arcade,11,"Watch, Silver Goods",NA,NA,1939,NA,Mohamed Saleern,,,,232,
103.8518133,1.283652721,3252,GENERAL ESTATES SUPPLY CO.,普通圓坵供給公司,The Arcade,23,"General Supplier to Estates, Mines, Etc",2690,NA,1930,NA,P. Pararaja Singam S/O Ponnambalam,,,,236,
103.8518133,1.283652721,3439,GREAT EASTERN MOVIETONE LTD.,大東影片公司,The Arcade,No. 32,Motion Pictures Advertising Agents,6235,NA,1947,"$500,000",Narayana Samy Damodauam Billayo,,,,249,
103.8518133,1.283652721,3629,"GUDGEON & CO., LTD.",加志恩有限公司,The Arcade,No. 71,General Import & Export Merchants,6262,"""GUDGECO.""""",1947,"$10,000",Cyril Mandeville Gudgeon,,,,261,
103.8518133,1.283652721,3796,T. W. HARRISON & CO.,哈裏遜,The Arcade,30,Shipping Agents and Brokers,NA,NA,1947,NA,Thomas Storey Clark,,,,,
103.8518133,1.283652721,4965,IDEAL HOMES,理想福斯,The Arcade,52,Estate Development,2257,NA,1948,NA,John Gibb,,,,365,
103.8518133,1.283652721,4979,"THE INDIA LANKA STEAM NAVIGATION CO., LTD.",印度蘭加汽船公司,The Arcade,39,Shipping,83649,NA,1947,"$10,000,000",K. Ponniah,,,,366,
103.8518133,1.283652721,5057,F. J. ISAAC & CO.,伊沙公司,The Arcade,10 & 12,"Importer, Exporter",82455,NA,1947,NA,Freddie Jacob Isaac,,,,373,
103.8518133,1.283652721,5553,M. B. KESAVAN,吉沙曼,The Arcade,29,"Import & Export, General Merchants",NA,NA,1947,NA,M. B. Kesavan. (Mullankandy Balakesavan) S/O Mullankandy Kunhikannan,,,,418,
103.8518133,1.283652721,5570,KHALIK JEWELLERS,巧力首飾,The Arcade,11,"Jewellery, Watches and Silverware, Etc., Merchants",,MOONSTONE,1946,NA,M. I. A. Khalik,,,P.O. Box 13,420,
103.8518133,1.283652721,7398,LIM SIONG & CO.,林祥公司,The Arcade,31,General Contractors,NA,NA,1946,NA,Lee Beow Lim,李妙林,,,558,
103.8518133,1.283652721,7457,LITTLE’S COLD DRINKS,小小飲冰室,The Arcade,3,Cold Drinks,NA,NA,1947,NA,Lau Tiong Kee,廖長祺,,,563,
103.8518133,1.283652721,7674,"MACPHAIL & CO., LTD.",麥比有限公司,The Arcade,31,General Brokers and Commission Agents,83106,NA,1918,"$250,000",Directors: Arthur Alexander Adam Paterson,,,,582,
103.8518133,1.283652721,7802,MALAYAN COMMERCIAL TRADING CO.,馬來亞貿易公司,The Arcade,50,Importers and Exporters,NA,NA,1947,NA,Gregory Joseph Fernaudez,,,,592,
103.8518133,1.283652721,7805,MALAYAN FARMS LTD.,馬來亞農業有限公司,The Arcade,No. 55,Farmers,NA,NA,1934,"$100,000",Directors: Joseph Euans,,,,592,
103.8518133,1.283652721,7898,MANUFACTURERS’ DISTRIBUTING BUREAU LTD.,工業品發行有限公司,The Arcade,62,Exporters and Importers,6065,NA,1933,"$50,000",Directors: Anto Mendez,,,,601,
103.8518283,1.283878557,8057,MERCURY SERVICE,馬求里,The Arcade,32,Clearing and Forwarding Cargo and Luggage,6786,NA,1946,NA,Abdul Samad S/O Aliyar Lebba,,,,612,
103.8518133,1.283652721,8136,"MIRANDOLLE, VOUTE & CO., LTD.",綿蘭羅里有限公司,The Arcade,56,Shipping and General Merchants,NA,NA,1948,"$500,000",Directors: Egbert Johannes Kuipers,,,,618,
103.8518133,1.283652721,8182,CHOP MOH HUAT,茂發號,The Arcade,48,Lorry Transport,NA,NA,1948,NA,Lim Ah Peck,林亞白,,,622,
103.8518133,1.283652721,8245,T. K. MOHAMED A. KADER,摩哈默巧德,The Arcade,50,General Contractors,NA,NA,1933,NA,T. M. Mohamed Abdul Kader S/O Mohamed Kunja,,,,626,
103.8518133,1.283652721,8466,MONTOR LIMITED,蒙多有限公司,The Arcade,37/40,Jewellery Merchants,5891 & 5892,NA,1929,NA,Directors: Alfred Montor,,,,643,
103.8518133,1.283652721,8481,MORETONS (MALAYA) LTD.,摩里丹有限公司,The Arcade,26,"Importers, Exporters, Manufacturers Agents",82045,"""TONGSMORE.""",1948,"$100,000",Directors: Ebramsha Shaik Dawood,,,,645,
103.8518133,1.283652721,8552,D. P. MURAD & CO.,摩力公司,The Arcade,46,"Importers, Exporters, General Merchants and Commission Agents",6403,"""NINEBULLS.""",NA,NA,D. P. Murad,,,Code Used: Bentley's Second and Angchuhui's,650,
103.8518133,1.283652721,8593,NABI CONSTRUCTION CO.,那比建築公司,The Arcade,45,General Repairs to Buildings,83754,NA,1947,NA,Fazal Karim Nabi,,,,657,
103.8518133,1.283652721,8907,NANTAO HAIR DRESSING SALOON,南都理髮室,The Arcade,6,Barbers,83055,NA,1947,NA,Liau Chin Sing,廖清醒,,,682,
103.8518133,1.283652721,8962,THE NATIONAL LIGHTERAGE COMPANY,國民駁運公司,The Arcade,26,Lighters For Hire,82045,NA,1941,NA,Ena Shaik Dawood Son of Ebramsah,,,,686,
103.8518133,1.283652721,8972,NATIONAL TYPEWRITER SERVICE,國民打字機公司,The Arcade,30,"Dealers and Repairers of Typewriters, Adding Machines Calculators, and Office Equipment",,,1948,NA,Lim Chin Seng,,,,687,
103.8518133,1.283652721,9406,PAD RUTH & COMPANY,伯拉公司,The Arcade,39,Film Distributing,NA,NA,1948,NA,K. A. Padmanabhaw S/O Krishmaswamy,,,,722,
103.8518133,1.283652721,9806,S. QURESHI,丘力絲,The Arcade,67,Army and Navy Contractors Import and Export Merchants,6453,NA,1933,NA,Shamshuddin Qureshi,,,,753,
103.8518133,1.283652721,9967,A. G. ROCHE & CO.,勞菜公司,The Arcade,65,Import and Export,NA,NA,1946,NA,Alfred George Roche,,,,766,
103.8518133,1.283652721,10165,SAYNA ABDUL KADAR & SON.,錫那巧拉父子,The Arcade,21,"Stevedore, Lighter Suppliers, Dubash and Shipchandler. Suppliers of Dumage Planks, Scantlings, Mats, and Talcuum Powder etc",80588,NA,1945,NA,A. Shaik Ahamed,,,,793,
103.8518133,1.283652721,10244,SELANDERS HUNTER & CO.,絲蘭德公司,The Arcade,60,Produce Merchants,NA,NA,1948,NA,Kenneth Gerakd Selanders,,,,799,
103.8518133,1.283652721,10528,SHANGHAI CONTRACTORS,大上海建築公司,The Arcade,9,Building Contractors,NA,NA,1945,NA,Lo You Ling,陸允齡,,,821,
103.8518133,1.283652721,11234,SINGAPORE BAGGAGE TRANSPORT AGENCY LTD.,新加坡運輸有限公司,The Arcade,45,"General Merchants, Exporters and Importers",4658,NA,1947,"$50,000",Directors: Nabi Michael Sidney,,,,875,
103.8518133,1.283652721,11271,SINGAPORE LIGHTERAGE HIRE CO.,新加坡駁船出稅公司,The Arcade,60,Lighterage Hire and Stevedoring,6548,NA,NA,NA,Nabi Michael Sidney,,,,879,
103.8518133,1.283652721,11280,THE SINGAPORE PACKING CO.,新加坡包裹公司,The Arcade,45,Packing,4658,NA,1947,NA,Michael Sydney Nabi,,,,880,
103.8518133,1.283652721,11605,SOUTH PACIFIC COMMODITY CORPORATION LTD.,南平洋聯合有限公司,The Arcade,72,Importers and Exporters,4150,NA,1947,"$500,000",Directors: Lim Song Leng,,,,908,
103.8518133,1.283652721,11677,STEPHEN MAK TYPEWRITER SERVICE,麥氏打字機公司,The Arcade,28,Typewriter Dealers and Repairers and Stationery Suppliers,3243,NA,1946,NA,Stephen Mak,,,,914,
103.8518133,1.283652721,11716,STUDIO 77,畫相室,The Arcade,71,General Publicity and Art Agents,82948,NA,1946,NA,Evelyn Wong,,,,918,
103.8518133,1.283652721,11983,SYED MOHSEN ALSAGOFF,絲摩新,The Arcade,27,"General Merchants, Importers, Exporters and Commission Agents",7461 & 80873,NA,1947,NA,Syed Mohsen Bin. Mohamed Alsagoff,,,,938,
103.8518133,1.283652721,12559,TECK YEOW & CO.,德耀公司,The Arcade,15,Leather Goods and Sundries Dealers,NA,NA,1945,NA,Lim Jak Yeow,林悅耀,,,985,
103.8518133,1.283652721,12794,W. G. THURSTON & CO.,他士頓公司,The Arcade,60,Manufacturers' Representatives,6548,NA,1947,NA,Thurston William George,,,,1004,
103.8518133,1.283652721,13188,H. TOOKE & CO.,多枝公司,The Arcade,70,Incorporated Accountants,80269 & 82789,NA,1947,NA,"Harold Tooke, A.S.A.A., A.T.I.I.",,,,1035,
103.8518133,1.283652721,13212,TRAVEL & AGENCIES LTD.,陳密代理有限公司,The Arcade,29,Travel Agents,NA,NA,1947,"$150,000",Directors: M. R. K. Nayar,,,,1037,
103.8518133,1.283652721,13253,TUI GOLD LTD.,達金礦有限公司,The Arcade,70,Gold Millers,NA,NA,1938,"$500,000",Directors: C. V. Miles,,,,1040,
103.8518133,1.283652721,13418,UNSCO LIMITED,安光有限公司,The Arcade,30,"Importers, Exporters, Contractors and Clearing and Forwarding Agents",3576,"""UNSCO""",1947,"$100,000",Directors: Charles Joseph Pemberton Paglar,,,P.O. Box 133,1057,
103.8518133,1.283652721,13895,WINSTON’S,温斯頓,The Arcade,4,Sports Goods Dealers,82123,NA,1945,NA,Peter Bose,,,,1099,
103.8518133,1.283652721,14380,YONG TECK SHOE STORE,榮德鞋莊,The Arcade,11,Shoes Retailers,NA,NA,1946,NA,Lim Yong Hee,林榮禧,,,1136,
103.8518133,1.283652721,14413,C. F. YOUNG,楊廣告室,The Arcade,9,Advertising Consultant,82062,NA,1946,NA,Charles Frederick Young,,,,1138,
103.8518133,1.283652721,14590,"MACPHAIL & CO., LTD.",麥比有限公司,The Arcade,,General Merchants and Commission Agents,83106,NA,1918,"$250,000",Director: Arthur Alexander Adam Paterson,,,P.O. Box 381,1160,
103.8518133,1.283652721,3051,WALTER FERNANDO & CO.,佛南都公司,"The Arcade Square, Singapore",27,Ship Chandler,NA,NA,1947,NA,Wickremeratue Vidanalege John Walter Fernando. S/O W. J. Fernando,,,,221,
103.8518133,1.283652721,6387,KWOK YOKE WENG & CO.,,"The Arcade, 1st Floor",22,Office Equipment Suppliers and Repairers,80248,NA,1946,NA,Managing Partner: Kwok Yoke Weng,,,,479,
103.8518133,1.283652721,13593,WAH MAY TRADING CO.,華美貿易公司,"The Arcade, 1st Floor",36,Importers and Exporters and Commission Agents,NA,NA,1947,NA,Lim Siew Khie,林肇祺,,,1075,
103.8518133,1.283652721,1343,LESLIE J. CHANTER & CO.,勒李曾多公司,"The Arcade, 3rd Floor",71,Indent Agents and Manufacturers,NA,NA,1946,NA,Leslie James Chanter,,,,100,
103.8518133,1.283652721,7272,LIANQUI TRADING COMPANY LTD.,聯求貿易公司,"The Arcade, 3rd Floor",63,General Importers and Exporters,"4828, 80258",“LIANQUI”,1941,"$500,000",Directors: Lim Siew Jin,,,,549,
103.8518133,1.283652721,482,THE ARCADE NEWS CO.,亞吉片店,"The Arcade, Collyer Quay",A,"Newsagents, Tobacconist and General Goods Store",NA,NA,1948,NA,Syed Ali Mohamed Alkaff,,,,41,
103.8518133,1.283652721,3393,GOODWILL TRADERS,義友商行,"The Arcade, Collyer Quay",71,"Manufacturers, Representatives",82948,"“GOODTRADE""",1947,NA,Liau Eng Teng,廖永庭,,,245,
103.8518133,1.283652721,10160,SAVOY RESTAURANT LTD.,仙圃餐室有限公司,"The Arcade, Collyer Quay",11,Restaurant and Bar,7240 & 7824,NA,1946,"$50,000",Directors: Tan Boon Eng,,,,793,
103.8518133,1.283652721,10485,"L. D. SEYMOUR & CO., INC.",時髦公司,"The Arcade, first floor",22,,3581,"""TRADEGLOBE""",1946,NA,Branch Manager: Ee Cheng Boon,,,P.O. Box 1069,817,
103.8518133,1.283652721,2661,EASTERN DEVELOPMENT LIMITED,東方影業有限公司,"The Arcade, Raffles Palce",61,Real Estate,NA,NA,1933,"$10,000/-",William Munro (British),,,,193,
103.8518133,1.283652721,569,"ATLANTIC GENERAL NAVIGATION CO., LTD.",大西洋行業公司,"The Arcade, Raffles Place",No. 61,Shipping,NA,NA,1947,"$100,000",William Munro,,,,47,
103.8516129,1.283939053,573,ATLAS TRADERS COMPANY,環球商業公司,"The Arcade, Raffles Place",41,"Importers, Commission Agents, Contractors",80528,NA,1945,NA,Tan Kheng Hee,陳慶喜,,,48,
103.8518133,1.283652721,2457,COLONIAL BAGGAGE SERVICE,高羅門商行,"The Arcade, Raffles Place",54,Transporting Baggage,4856,NA,1946,NA,Mohamed Abdul Kadir Bin Mohamed Nassim S/O Mohamed Nassim,,,,171,
103.8518133,1.283652721,3254,GENERAL INVESTORS AND TRUSTEES LTD.,普通投資信託有限公司,"The Arcade, Raffles Place",61,"Shares, Debentures, Stocks, etc",NA,NA,1907,"£1,000,000",Local Rep: William Munro,,,Inc. in England,236,
103.8518133,1.283652721,9556,PERFORMING RIGHT SOCIETY LIMITED,伯補明有限公司,"The Arcade, Raffles Place",61,Composers of Musics,NA,NA,1914,NA,Local Rep: Eastern Development Ltd,,,Inc. in England,734,
103.8515984,1.28382048,2612,DUNLOP MALAYAN ESTATES LTD.,南洛膠園有限公司,"The Arcade, Raffles Place.",59/61,"Rubber, Tea, Coffee, Planters, etc.",NA,NA,1939,"$2,000,000",Local Rep: William Munro,,,Inc. in Malayan Union,189,
103.8518133,1.283652721,9389,PACIFIC TRADERS,太平洋貿易,"The Arcade, Raffles Square",71,Importers and Exporters,82948,"""PACITRADER""",1942,NA,Managing Proprietor: Robert Lee,,,,721,
103.8518133,1.283652721,2970,EUROPE TRADING CO.,歐洲貿易公司,The Arcade,39,General Merchants,NA,NA,1948,NA,Abdul Shukoor S/O Aliar Lebba,,,,213,
103.8516419,1.284016488,7472,K. W. LOH & CO.,盧錦華會計公司,The Arcade,71,Commerical Accountants and Secretaries,NA,NA,1948,NA,Loh Kum Wah,盧錦華,,,564,
103.8493059,1.293823964,4238,HOCK HIAP LEONG,福協隆,Armenian Street,34,Eating House,82198,NA,1933,NA,Ting Ah See,陳亞西,,,313,
103.8493957,1.294013224,327,ALHADAD & CO.,亞哈達公司,Armenian Street,47,House Agents and Commission Agents,NA,NA,1935,NA,Syed Ahmad Bin Abdulgadir Alhadad,,,,30,
103.8495698,1.294305717,6845,LEE BROTHERS CO.,利兄弟公司,Armenian Street,55,Exercise Book Manufacturers,4154,NA,1932,NA,Tan Cher Hua,陳子和,,,517,
103.8495965,1.294351598,6654,KWONG YUEN SUN,廣遠新,Armenian Road,56,Laundry,NA,NA,1937,NA,Kwok Wah Hung,郭華亨,,,498,
103.8490728,1.292982141,1079,BORDEN TAILORING,波登洋服,Armenian Street,57,Tailoring,NA,NA,1948,NA,Cheang Swee Teng,鄭瑞廷,,,81,
103.849237,1.293661468,14083,YEE FATT TAILOR,怡發洋服,Armenian Street,57,Tailoring,NA,NA,1940,NA,Mok Yun Hin,莫潤謙,,,1114,
103.8492236,1.293644263,5309,CHOP JUAN LEE,源利號,Armenian Street,58,Eating House,NA,NA,1903,NA,Chiam Toon Wah,詹尊華,,,393,
103.8491139,1.292699753,2131,CHOON SING TAILOR,全昇洋服店,Armenian Street,59,Tailoring,NA,NA,1933,NA,Lee Chee Fay,李志輝,,,151,
103.8492045,1.293676762,4562,HONG SENG TAILOR,鴻昇洋服,Armenian Street,61,Tailoring,NA,NA,1947,NA,Cheang Swee Teng,鄭瑞廷,,,335,
103.8492179,1.293672939,115,S. ABDUL RAHMAN ABDULLAH JABAR,亞都拉曼,Armenian Street,63,Landed Property Owners and Commission Agents,7575,NA,1922,NA,Sheik Abdul Rahman Abdullah Jabar S/O Abdullah Jabar,,,,17,
103.8492084,1.293657645,12656,TEX & CO.,德士公司,Armenian Street,65,Paper and Exercise Book Dealers,80806,NA,1937,NA,Yeo Teck,楊德,,,993,
103.8491931,1.293671027,9761,PUI FATT,培發號,Armenian Street,67,Soda-Fountain Owners,NA,NA,1940,NA,Chan Pui Hong,陳培雄,,,749,
103.852387,1.285542049,7974,MEDICAL HALL LTD.,麥的可大藥房,Battery Road,3,Chemists and Druggists,7061,NA,1920,"$200,000",Directors: Alexander James Turner,,,,606,
103.8523355,1.285517381,11396,SOCIETE DES MATIERES PREMIERES TROPICALES,司格力,Battery Road,"2nd floor, 5",Dealing in Land and Properties,80301,NA,1946,"Fr. 2,000,000",Local rep: Grimbert Pierre,,,Inc. in France,890,
103.8517179,1.285221669,1930,CHINA COMPANY,中國公司,Battery Road,8,General China Fancy Goods,4531,NA,1945,NA,Yeo Joo Heng,姚愈勳,,,139,
103.8513807,1.285060174,1721,CHIAM TRADING COMPANY LTD.,詹貿易有限公司,Battery Road,10,"General Merchants, Importers and Exporters","Office: 2672, Store: 6828",“CHIAM.”,1947,"$500,000",Chiam Heng Hong,,,,126,
103.8513807,1.285060174,2646,EASTERN ART PHOTO STORE,振亞影店,Battery Road,10,Camera Dealers,NA,NA,1948,NA,Ng Hiong Teck,黃德雄,,,192,
103.8513807,1.285060174,3392,GOODSTORE,漢隆公司,Battery Road,10,"Lace, Embroideries, Etc",82081,NA,1946,NA,Chuang Shi Hwee,莊錫輝,,,245,
103.8513807,1.285060174,5974,KIM SENG CO.,錦盛行,Battery Road,10,Manufacturers' Representatives,82078,NA,1946,NA,Koh Kim Seng,柯金生,,,449,
103.8513807,1.285060174,10141,"SANLIN CO., LTD.",三玲有限公司,Battery Road,10,Stationers and Lithographers,NA,NA,1948,"$100,000",Directors: Wong Fook Wah,,,,791,
103.8513807,1.285060174,10538,SHANGHAI MODERN LADIES TAILORING,上海時裝女服,Battery Road,10,Tailoring,NA,NA,1947,NA,Chen Yin Fook,陳永福,,,822,
103.8513807,1.285060174,2971,THE EUROPEAN MERCHANTILE CO.,歐洲商行,"Battery Road, Rodney House",10,"Importers, Representatives and Indenters for Manufacturers",NA,NA,1938,NA,Leon Kuniansky,,,,213,
103.8513807,1.285060174,14710,WALTERS & CO.,哇德士公司,"Battery Road, Rodney House",10,"Advocates and Solicitors and Notaries Public, Patent and Trade Mark Agents",4956,NA,1946,NA,Walters David Keri,,,,1171,
103.8517969,1.285018383,7969,"MAYNARD & CO., LTD.",美路有限公司,Battery Road,11,Wholesale and Retail Chemists and Druggists,6115,NA,NA,"$100,000",Directors: Robert Renton,,,,606,
103.8517969,1.285018383,8492,MOTION SMITH & SON LTD.,摩遜士敏父子有限公司,Battery Road,11,"Scientific and Nautical Instrument Dealers, Admiralty Chart Agents",6838,"""MOTION"" Singapore",1922,"$160,000",Directors: Leslie H. Smith,,,,645,
103.8518595,1.285046001,3250,THE GENERAL ELECTRIC CO. LTD.,普通電器公司,Battery Road,12,Manufacturers and Suppliers of Electrical Appliances,3711 (5 lines),"""VANNER.""",NA,"£11,600,000",,,,Inc. in England,236,
103.851935,1.28507931,2449,"THE CLIPPER TRADING COMPANY, LIMITED",克里達貿易有限公司,Battery Road,13,"General Merchants, Importers and Exporters",3488,"“CLIPPERCO,” S'pore",1947,"$500,000",Karel Vanicek,,,,170,
103.851935,1.28507931,2765,ELSIE MARY,亦絲瑪裏,Battery Road,13,Dress Makers,3339,NA,1940,NA,Elise Mary Erser (Mrs.),,,,200,
103.851935,1.28507931,2995,M. EZEKIEL & SONS,伊志基父子公司,Battery Road,13,Qualified Optical Practitioners,7631,"""EZEOPTIC.""",1918,NA,,,,,217,
103.851935,1.28507931,8077,MICHELEE,買格里,Battery Road,13,Ladies Hairdresser,3339,NA,1947,NA,Albert Victor Goodale,,,,614,
103.851935,1.28507931,9954,RICKWOOD & CO.,力兀公司,Battery Road,13,"Importers, Exporters and Merchants",7750,NA,1945,NA,Garrett George Rickwood,,,,765,
103.851935,1.28507931,9955,"RICKWOOD & CO., LTD.",力兀有限公司,Battery Road,13,"Exchange, Surrender and Mortgage",7750,"""TANRICK""",1948,"$100,000",Directors: Garrett George Rickwood,,,,765,
103.851935,1.28507931,3643,GUTWIRTH TRADING COMPANY (MALAYA) LTD.,加威貿易公司,Battery Road,No. 13,"General Merchants, Diamonds and Textiles",6072-83772,"""WIRGOOD""",1947,"$2,000,000",Aaron Gutwirth,,,Auto division: Champion Motors (ad),262,
